1,BMW ,BMW:BMW:3-Series:G20 [0-3.5 PC],2019-04,2025-10,46225,11556, -   , -   , -   ,46225,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,BMW ,BMW:BMW:4-Series Gran Coupe:G26 [0-3.5 PC],2021-04,2028-03, -   , -   , -   , -   , -   , -   ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,BMW ,Daimler:Infiniti:QX50:P71A [0-3.5 PC],2017-11,2023-10,46104,23402, -   ,2106,45396,46104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,BMW ,Daimler:Infiniti:Q40:X71B [0-3.5 PC],2018-03,2025-02,41391,17899, -   , -   ,30206,41391,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,MERCEDES BENZ,Daimler:Mercedes-Benz:Compact Sedan:V177 [0-3.5 PC],2018-07,2026-01,83970,30821, -   , -   ,39315,83970,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,MERCEDES BENZ,Daimler:Mercedes-Benz:GLB:X247 [0-3.5 PC],2019-05,2026-05,46312,11578, -   , -   , -   ,46312,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,MERCEDES BENZ,Daimler:Infiniti:Q30:GD1A(2) [0-3.5 PC],2021-07,2027-09, -   , -   , -   , -   , -   , -   ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,MERCEDES BENZ,Daimler:Infiniti:QX50:P71A(2) [0-3.5 PC],2023-11,2029-10, -   , -   , -   , -   , -   , -   ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,FCA,FCA:Ram:1500:DS [0-3.5 LCV],2009-09,2017-12,48189,23392,48189,45378, -   , -   ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,FCA,FCA:Ram:2500/3500:DJ [3.5-6 LCV],2009-09,2018-09,157828,96576,117973,110505,157828, -   ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,FCA,FCA:Ram:1500:DT [0-3.5 LCV],2018-01,2022-10,60480,30010, -   ,586,60480,58973,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,FCA,FCA:Ram:2500/3500:DK [3.5-6 LCV],2018-10,2023-10,185504,56879, -   , -   ,42014,185504,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,FCA,FCA:Ram:1500:DT(2) [0-3.5 LCV],2022-11,2029-10, -   , -   , -   , -   , -   , -   ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,FCA,FCA:Ram:2500/3500:DK(2) [3.5-6 LCV],2023-11,2030-10, -   , -   , -   , -   , -   , -   ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,FCA,FCA:Dodge:Journey:JC49 [0-3.5 PC],2008-01,2020-06,119755,89284,119755,63862,98782,74738,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,FCA,FCA:Fiat:500:FF [0-3.5 PC],2010-12,2019-07,16503,10572,11187,7042,16503,7555,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,FCA,FCA:Fiat:Freemont:JF [0-3.5 PC],2011-03,2020-06,4042,2757,658,2353,3975,4042,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,FCA,FCA:Jeep:Compass:MP [0-3.5 PC],2017-01,2022-06,219900,138885, -   ,120554,219900,215085,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,FCA,FCA:Jeep:Compass:MP(2) [0-3.5 PC],2022-07,2028-06, -   , -   , -   , -   , -   , -   ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,FORD,Ford:Ford:Fiesta:B299N [0-3.5 PC],2010-04,2018-10,72788,41075,37389,54124,72788, -   ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
